"Region";"Type";"Date";"Variable";"Value"
"02 Akershus";"01 Nye eneboliger";2007;"Endring i prosent fra foregående år";16,6
"02 Akershus";"01 Nye eneboliger";2007;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";109,2
"02 Akershus";"01 Nye eneboliger";2008;"Kvadratmeterpris (kr)";26009
"02 Akershus";"01 Nye eneboliger";2008;"Endring i prosent fra foregående år";11,9
"02 Akershus";"01 Nye eneboliger";2008;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";123,5
"02 Akershus";"01 Nye eneboliger";2009;"Kvadratmeterpris (kr)";26332
"02 Akershus";"01 Nye eneboliger";2009;"Endring i prosent fra foregående år";1,2
"02 Akershus";"01 Nye eneboliger";2009;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";122,5
"02 Akershus";"01 Nye eneboliger";2010;"Kvadratmeterpris (kr)";28521
"02 Akershus";"01 Nye eneboliger";2010;"Endring i prosent fra foregående år";8,3
"02 Akershus";"01 Nye eneboliger";2010;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";125,7
"02 Akershus";"01 Nye eneboliger";2011;"Kvadratmeterpris (kr)";29731
"02 Akershus";"01 Nye eneboliger";2011;"Endring i prosent fra foregående år";4,2
"02 Akershus";"01 Nye eneboliger";2011;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";122,6
"02 Akershus";"01 Nye eneboliger";2012;"Kvadratmeterpris (kr)";32257
"02 Akershus";"01 Nye eneboliger";2012;"Endring i prosent fra foregående år";8,5
"02 Akershus";"01 Nye eneboliger";2012;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";126,2
"02 Akershus";"01 Nye eneboliger";2013;"Kvadratmeterpris (kr)";34708
"02 Akershus";"01 Nye eneboliger";2013;"Endring i prosent fra foregående år";7,6
"02 Akershus";"01 Nye eneboliger";2013;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";129,6
"02 Akershus";"01 Nye eneboliger";2014;"Kvadratmeterpris (kr)";37105
"02 Akershus";"01 Nye eneboliger";2014;"Endring i prosent fra foregående år";6,9
"02 Akershus";"01 Nye eneboliger";2014;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";134,9
"02 Akershus";"01 Nye eneboliger";2015;"Kvadratmeterpris (kr)";38931
"02 Akershus";"01 Nye eneboliger";2015;"Endring i prosent fra foregående år";4,9
"02 Akershus";"01 Nye eneboliger";2015;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";131,9
"02 Akershus";"02 Brukte eneboliger";1999;"Kvadratmeterpris (kr)";9561
"02 Akershus";"02 Brukte eneboliger";1999;"Endring i prosent fra foregående år";0
"02 Akershus";"02 Brukte eneboliger";1999;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";97,5
"02 Akershus";"02 Brukte eneboliger";2000;"Kvadratmeterpris (kr)";11228
"02 Akershus";"02 Brukte eneboliger";2000;"Endring i prosent fra foregående år";17,4
"02 Akershus";"02 Brukte eneboliger";2000;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";99,8
"02 Akershus";"02 Brukte eneboliger";2001;"Kvadratmeterpris (kr)";14040
"02 Akershus";"02 Brukte eneboliger";2001;"Endring i prosent fra foregående år";0
"02 Akershus";"02 Brukte eneboliger";2001;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";91,9
"02 Akershus";"02 Brukte eneboliger";2002;"Kvadratmeterpris (kr)";14834
"02 Akershus";"02 Brukte eneboliger";2002;"Endring i prosent fra foregående år";5,7
